Average,,,,,
e1 [1] - engr.,e2 [1] - engr.,gamma [1] - engr.,Time_0,Time,Pressure
0.00842194,-0.00115928,0.00252044,1069.282,784.9996,103300.9752
0.00748323,-0.00106216,0.0081876,1074.2826,790.0002,103113.1813
0.0104804,-0.00133387,-0.00654997,1079.2826,795.0002,103232.192
0.0107513,-0.0014294,-0.00768582,1084.2829,800.0005,103481.7224
0.00959589,-0.00128916,-0.00330412,1089.2829,805.0005,103431.4252
0.00852263,-0.00117598,0.00242435,1094.2822,809.9998,103269.7181
0.00759866,-0.00106587,0.00658198,1099.2829,815.0005,103153.3936
0.0119582,-0.00151799,-0.010396,1104.2819,819.9995,103247.5901
0.01077,-0.0014147,-0.00710369,1109.2827,825.0003,103164.2707
0.00959093,-0.00130498,-0.00254595,1114.2825,830.0001,103270.3614
0.00853563,-0.00119536,0.00237148,1119.2821,834.9997,103255.0756
0.00877898,-0.0011748,0.00129053,1124.2832,840.0008,103117.8096
0.00927906,-0.00125268,-0.00150319,1129.2827,845.0003,103494.3937
0.00831196,-0.00114681,0.00332493,1134.2829,850.0005,103569.6898
0.0099654,-0.00134269,-0.00396065,1139.2826,855.0002,103458.2063
0.00893538,-0.00121701,0.00106247,1144.2829,860.0005,103268.1487
0.00799806,-0.00110537,0.0040105,1149.2828,865.0004,103115.1049
0.0121899,-0.00156556,-0.0113085,1154.2821,869.9997,103500.9532
0.0109029,-0.00146009,-0.00663733,1159.2819,874.9995,103535.3062
0.00968765,-0.00135916,-0.00234013,1164.283,880.0006,103402.1654
0.0086631,-0.00120943,0.00172225,1169.283,885.0006,103210.5419
0.00875841,-0.00117537,0.00180027,1174.2823,889.9999,103561.5736
0.0119136,-0.00156146,-0.0097546,1179.283,895.0006,103628.9398
0.0106357,-0.00144827,-0.00619999,1184.2823,899.9999,103503.6537
0.00947574,-0.00131719,-0.00201045,1189.2824,905,103307.42
0.00849586,-0.00118271,0.00303273,1194.283,910.0006,103419.7376
0.0127028,-0.00165344,-0.0118312,1199.2829,915.0005,103651.2113
0.0113618,-0.00153932,-0.00787189,1204.2824,920,103589.53
0.0101876,-0.00137013,-0.0040857,1209.2827,925.0003,103414.7564
0.00907035,-0.00126901,0.000116936,1214.2824,930,103206.5
0.0133475,-0.00170054,-0.0132056,1219.282,934.9996,103543.2039
0.0121151,-0.00162281,-0.0101216,1224.2823,939.9999,103620.4508
0.0108322,-0.0014985,-0.00593243,1229.2828,945.0004,103496.6022
0.00968858,-0.00137207,-0.00171941,1234.2828,950.0004,103378.8201
0.00872104,-0.00122287,0.00222711,1239.2822,954.9998,103451.7814
0.0129147,-0.00170866,-0.0119499,1244.2828,960.0004,103353.2456
0.0115988,-0.00159828,-0.00923264,1249.2826,965.0002,103608.7032
0.010383,-0.00142902,-0.00453682,1254.2823,969.9999,103750.5998
